question_id,question,question_type,ground_truth_answer,generated_answer,retrieval_time,generation_time,total_time,mrr,ndcg_at_k,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge1_f1,rouge2_f1,retrieved_chunks
11,Who was Mitochondrion?,factual,"Purified MAM from subcellular fractionation is enriched in enzymes involved in phospholipid exchange, in addition to channels associated with Ca2+ signaling. These hints of a prominent role for the MAM in the regulation of cellular lipid stores and signal transduction have been borne out, with significant implications for mitochondrial-associated cellular phenomena, as discussed below.",[3].,0.052973031997680664,1.802489995956421,1.8554630279541016,1.0,0.9197207891481877,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Mitochondrion', 'url': 'https://en.wikipedia.org/wiki/Mitochondrion', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Tenth French legislative constituency for citizens abroad', 'url': 'https://en.wikipedia.org/wiki/Tenth_French_legislative_constituency_for_citizens_abroad', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Mitochondrion', 'url': 'https://en.wikipedia.org/wiki/Mitochondrion', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
12,When did NASA occur?,factual,"A subject of numerous major films, NASA has maintained an influence on American popular culture since the Apollo 11 mission in 1969.",[2].,0.04817795753479004,1.851712942123413,1.8998908996582031,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'NASA', 'url': 'https://en.wikipedia.org/wiki/NASA', 'rrf_score': 0.031544957774465976, 'dense_rank': 6, 'sparse_rank': 1}, {'title': 'NASA', 'url': 'https://en.wikipedia.org/wiki/NASA', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Moon', 'url': 'https://en.wikipedia.org/wiki/Moon', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
13,What are Antibiotic?,factual,The chemical structure of penicillin was first proposed by Abraham in 1942 and then later confirmed by Dorothy Crowfoot Hodgkin in 1945. Purified penicillin displayed potent antibacterial activity against a wide range of bacteria and had low toxicity in humans.,antimicrobial drugs are widely used in the treatment and prevention,0.08743906021118164,3.1387181282043457,3.2261571884155273,1.0,0.9197207891481877,0.2,0.05,0.08000000000000002,0.16000000000000003,0.0,"[{'title': 'Antibiotic', 'url': 'https://en.wikipedia.org/wiki/Antibiotic', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Ethics', 'url': 'https://en.wikipedia.org/wiki/Ethics', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Antibiotic', 'url': 'https://en.wikipedia.org/wiki/Antibiotic', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
14,What are Duchy of the Archipelago?,factual,"The Duchy of the Archipelago (Greek: Δουκάτο του Αρχιπελάγους, romanized: Doukáto tou Archipelágous, Italian: Ducato dell'arcipelago, Venetian: Ducato de l'arcipelago), also known as Duchy of Naxos or Duchy of the Aegean, was a maritime state created by Venetian interests in the Cyclades archipelago in the Aegean Sea, in the aftermath of the Fourth Crusade, centered on the islands of Naxos and Paros. It included all the Cyclades (except Mykonos and Tinos).",[4],0.06540989875793457,1.8293359279632568,1.8947458267211914,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Duchy of the Archipelago', 'url': 'https://en.wikipedia.org/wiki/Duchy_of_the_Archipelago', 'rrf_score': 0.03278688524590164, 'dense_rank': 1, 'sparse_rank': 1}, {'title': 'Duchy of the Archipelago', 'url': 'https://en.wikipedia.org/wiki/Duchy_of_the_Archipelago', 'rrf_score': 0.030798389007344232, 'dense_rank': 3, 'sparse_rank': 7}, {'title': 'Duchy of the Archipelago', 'url': 'https://en.wikipedia.org/wiki/Duchy_of_the_Archipelago', 'rrf_score': 0.030536130536130537, 'dense_rank': 5, 'sparse_rank': 6}]"
15,What happened in Lu de la Tower?,factual,"Luciana de la Torre (born 12 January 2000), known professionally as Lu de la Tower, is a Bolivian singer from Santa Cruz de la Sierra. She has been recognized as Female Artist of the Year at the Bolivia Music Awards for three consecutive years, from 2021 to 2023.",[4].,0.08070492744445801,1.745901107788086,1.826606035232544,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Lu de la Tower', 'url': 'https://en.wikipedia.org/wiki/Lu_de_la_Tower', 'rrf_score': 0.03252247488101534, 'dense_rank': 1, 'sparse_rank': 2}, {'title': 'Lu de la Tower', 'url': 'https://en.wikipedia.org/wiki/Lu_de_la_Tower', 'rrf_score': 0.03252247488101534, 'dense_rank': 2, 'sparse_rank': 1}, {'title': 'Lu de la Tower', 'url': 'https://en.wikipedia.org/wiki/Lu_de_la_Tower', 'rrf_score': 0.03149801587301587, 'dense_rank': 3, 'sparse_rank': 4}]"
16,Who was Unemployment?,factual,"In the United States, for example, the unemployment rate does not take into consideration part-time workers, or those individuals who are not actively looking for employment, due to attending college or having tried to find a job and given up. According to the OECD, Eurostat, and the US Bureau of Labor Statistics the unemployment rate is the number of unemployed people as a percentage of the labour force.",Unemployment.,0.05031228065490723,1.9202649593353271,1.9705772399902344,1.0,0.9197207891481877,1.0,0.014492753623188406,0.02857142857142857,0.02857142857142857,0.0,"[{'title': 'Unemployment', 'url': 'https://en.wikipedia.org/wiki/Unemployment', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Tenth French legislative constituency for citizens abroad', 'url': 'https://en.wikipedia.org/wiki/Tenth_French_legislative_constituency_for_citizens_abroad', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Unemployment', 'url': 'https://en.wikipedia.org/wiki/Unemployment', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
17,When did Ethics occur?,factual,Friedrich Nietzsche (1844–1900) formulated criticisms of both Christian and Kantian morality.,Bioethics.,0.07673168182373047,2.583549976348877,2.6602816581726074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Ethics', 'url': 'https://en.wikipedia.org/wiki/Ethics', 'rrf_score': 0.031099324975891997, 'dense_rank': 8, 'sparse_rank': 1}, {'title': 'Ethics', 'url': 'https://en.wikipedia.org/wiki/Ethics', 'rrf_score': 0.03055037313432836, 'dense_rank': 7, 'sparse_rank': 4}, {'title': 'Ethics', 'url': 'https://en.wikipedia.org/wiki/Ethics', 'rrf_score': 0.030330882352941176, 'dense_rank': 4, 'sparse_rank': 8}]"
18,Where is Socialism located?,factual,They have been categorised as religious socialists by some.,democratic socialism.,0.045316219329833984,2.084484815597534,2.129801034927368,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Socialism', 'url': 'https://en.wikipedia.org/wiki/Socialism', 'rrf_score': 0.0315136476426799, 'dense_rank': 2, 'sparse_rank': 5}, {'title': 'Socialism', 'url': 'https://en.wikipedia.org/wiki/Socialism', 'rrf_score': 0.030834914611005692, 'dense_rank': 8, 'sparse_rank': 2}, {'title': 'Socialism', 'url': 'https://en.wikipedia.org/wiki/Socialism', 'rrf_score': 0.030303030303030304, 'dense_rank': 6, 'sparse_rank': 6}]"
19,When did Exercise occur?,factual,"This regimen was assimilated into the training of the British Army, which formed the Army Gymnastic Staff in 1860 and made sport an important part of military life.",Alzheimer's disease.,0.05269813537597656,2.030334949493408,2.0830330848693848,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Exercise', 'url': 'https://en.wikipedia.org/wiki/Exercise', 'rrf_score': 0.03200204813108039, 'dense_rank': 3, 'sparse_rank': 2}, {'title': 'Exercise', 'url': 'https://en.wikipedia.org/wiki/Exercise', 'rrf_score': 0.031754032258064516, 'dense_rank': 2, 'sparse_rank': 4}, {'title': 'Exercise', 'url': 'https://en.wikipedia.org/wiki/Exercise', 'rrf_score': 0.031024531024531024, 'dense_rank': 6, 'sparse_rank': 3}]"
20,Who was 17th Armored Engineer Battalion?,factual,The unit moved to Grunewalde were a ferry would move them across. 17th engineers help in the ferry operations with their DUKWs.,[4] 17th Armored Engineer Battalion,0.06257104873657227,2.825026750564575,2.8875977993011475,1.0,1.0,0.4,0.09090909090909091,0.14814814814814814,0.14814814814814814,0.0,"[{'title': '17th Armored Engineer Battalion', 'url': 'https://en.wikipedia.org/wiki/17th_Armored_Engineer_Battalion', 'rrf_score': 0.03278688524590164, 'dense_rank': 1, 'sparse_rank': 1}, {'title': '17th Armored Engineer Battalion', 'url': 'https://en.wikipedia.org/wiki/17th_Armored_Engineer_Battalion', 'rrf_score': 0.03225806451612903, 'dense_rank': 2, 'sparse_rank': 2}, {'title': '17th Armored Engineer Battalion', 'url': 'https://en.wikipedia.org/wiki/17th_Armored_Engineer_Battalion', 'rrf_score': 0.03149801587301587, 'dense_rank': 3, 'sparse_rank': 4}]"
21,What is Quantum mechanics?,factual,"The modern theory is formulated in various specially developed mathematical formalisms. In one of them, a mathematical entity called the wave function provides information, in the form of probability amplitudes, about what measurements of a particle's energy, momentum, and other physical properties may yield.",[3].,0.0435640811920166,1.704793930053711,1.7483580112457275,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Quantum mechanics', 'url': 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'rrf_score': 0.03252247488101534, 'dense_rank': 2, 'sparse_rank': 1}, {'title': 'Quantum mechanics', 'url': 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'rrf_score': 0.029877369007803793, 'dense_rank': 5, 'sparse_rank': 9}, {'title': 'Quantum mechanics', 'url': 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}]"
22,Where is Climate change located?,factual,"A climate model is a representation of the physical, chemical and biological processes that affect the climate system.",[3],0.0538182258605957,1.664794921875,1.7186131477355957,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Climate change', 'url': 'https://en.wikipedia.org/wiki/Global_warming', 'rrf_score': 0.031544957774465976, 'dense_rank': 1, 'sparse_rank': 6}, {'title': 'Climate change', 'url': 'https://en.wikipedia.org/wiki/Climate_change', 'rrf_score': 0.0315136476426799, 'dense_rank': 2, 'sparse_rank': 5}, {'title': 'Climate change', 'url': 'https://en.wikipedia.org/wiki/Climate_change', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}]"
23,What happened in Nuclear power?,factual,"The Megatons to Megawatts Program is considered the single most successful non-proliferation program to date. Up to 2005, the program had processed $8 billion of high enriched, weapons-grade uranium into low enriched uranium suitable as nuclear fuel for commercial fission reactors by diluting it with natural uranium.",[3],0.05034494400024414,1.9171440601348877,1.9674890041351318,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Nuclear power', 'url': 'https://en.wikipedia.org/wiki/Nuclear_power', 'rrf_score': 0.03177805800756621, 'dense_rank': 5, 'sparse_rank': 1}, {'title': 'Nuclear power', 'url': 'https://en.wikipedia.org/wiki/Nuclear_power', 'rrf_score': 0.03128054740957967, 'dense_rank': 2, 'sparse_rank': 6}, {'title': 'Nuclear power', 'url': 'https://en.wikipedia.org/wiki/Nuclear_power', 'rrf_score': 0.031099324975891997, 'dense_rank': 1, 'sparse_rank': 8}]"
24,Who was Cancer?,factual,"As with chemotherapy, cancers vary in their response to radiation therapy. Radiation therapy is used in about half of cases.",[4]. [5].,0.05716300010681152,2.312023639678955,2.3691866397857666,1.0,0.9197207891481877,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Cancer', 'url': 'https://en.wikipedia.org/wiki/Cancer', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Tenth French legislative constituency for citizens abroad', 'url': 'https://en.wikipedia.org/wiki/Tenth_French_legislative_constituency_for_citizens_abroad', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Cancer', 'url': 'https://en.wikipedia.org/wiki/Cancer', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
25,Who was Classical music?,factual,"Musical forms began to break from the Classical era forms (even as those were being codified), with free-form pieces like nocturnes, fantasias, and preludes being written where accepted ideas about the exposition and development of themes were ignored or minimized. The music became more chromatic, dissonant, and tonally colorful, with tensions (with respect to accepted norms of the older forms) about key signatures increasing.",[4].,0.056783199310302734,1.8312981128692627,1.8880813121795654,0.5,0.6934264036172708,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Music', 'url': 'https://en.wikipedia.org/wiki/Music', 'rrf_score': 0.032018442622950824, 'dense_rank': 1, 'sparse_rank': 4}, {'title': 'Classical music', 'url': 'https://en.wikipedia.org/wiki/Classical_music', 'rrf_score': 0.03057889822595705, 'dense_rank': 8, 'sparse_rank': 3}, {'title': 'Classical music', 'url': 'https://en.wikipedia.org/wiki/Classical_music', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}]"
26,What happened in 1990 Manjil–Rudbar earthquake?,factual,"The earthquake struck 30 minutes after midnight when most people were sleeping in their basic mud dwellings, a major factor contributing to the high death toll. The morning after the mainshock, a 6.5 magnitude aftershock hit the city of Rasht, causing a dam to break and creating a large flood and landslide, flooding and wiping out huge swaths of farmland.",[4].,0.0903940200805664,1.7369139194488525,1.827307939529419,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': '1990 Manjil–Rudbar earthquake', 'url': 'https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake', 'rrf_score': 0.03278688524590164, 'dense_rank': 1, 'sparse_rank': 1}, {'title': '1990 Manjil–Rudbar earthquake', 'url': 'https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake', 'rrf_score': 0.03200204813108039, 'dense_rank': 2, 'sparse_rank': 3}, {'title': '1990 Manjil–Rudbar earthquake', 'url': 'https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake', 'rrf_score': 0.031754032258064516, 'dense_rank': 4, 'sparse_rank': 2}]"
27,Where is Quantum computing located?,factual,"From the perspective of business management, the potential applications of quantum computing are commonly classified into four key domains: (1) cybersecurity; (2) data analytics and artificial intelligence; (3) optimization and simulation; and (4) data management and search.",[4].,0.05206012725830078,2.1211156845092773,2.173175811767578,1.0,1.0,1.0,0.02702702702702703,0.052631578947368425,0.052631578947368425,0.0,"[{'title': 'Quantum computing', 'url': 'https://en.wikipedia.org/wiki/Quantum_computing', 'rrf_score': 0.03200204813108039, 'dense_rank': 2, 'sparse_rank': 3}, {'title': 'Quantum computing', 'url': 'https://en.wikipedia.org/wiki/Quantum_computing', 'rrf_score': 0.03131881575727918, 'dense_rank': 1, 'sparse_rank': 7}, {'title': 'Quantum computing', 'url': 'https://en.wikipedia.org/wiki/Quantum_computing', 'rrf_score': 0.030117753623188408, 'dense_rank': 4, 'sparse_rank': 9}]"
28,What happened in Research?,factual,"Rudolph Rummel says, ""... no researcher should accept any one or two tests as definitive.",[4].,0.039530038833618164,1.7576467990875244,1.7971768379211426,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Psychology', 'url': 'https://en.wikipedia.org/wiki/Psychology', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': '1990 Manjil–Rudbar earthquake', 'url': 'https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Research', 'url': 'https://en.wikipedia.org/wiki/Research', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
29,What is Earl of Donoughmore?,factual,"In 1783, Christiana was raised to the Peerage of Ireland in honour of her husband as Baroness Donoughmore, of Knocklofty in the County of Tipperary. The first Earl was succeeded according to the special remainder (and normally in the barony of Donoughmore) by his younger brother, the second Earl.",[4].,0.05386710166931152,1.756397008895874,1.8102641105651855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Earl of Donoughmore', 'url': 'https://en.wikipedia.org/wiki/Earl_of_Donoughmore', 'rrf_score': 0.03278688524590164, 'dense_rank': 1, 'sparse_rank': 1}, {'title': 'Earl of Donoughmore', 'url': 'https://en.wikipedia.org/wiki/Earl_of_Donoughmore', 'rrf_score': 0.03128054740957967, 'dense_rank': 2, 'sparse_rank': 6}, {'title': 'James Talbot (Jacobite)', 'url': 'https://en.wikipedia.org/wiki/James_Talbot_(Jacobite)', 'rrf_score': 0.031009615384615385, 'dense_rank': 4, 'sparse_rank': 5}]"
30,What happened in Vaccine?,factual,"This protein is usually the immunodominant antigen of the pathogen or a surface protein that enables the formation of neutralizing antibodies. The subgroup of genetic vaccines encompass viral vector vaccines, RNA vaccines and DNA vaccines.[citation needed] Viral vector vaccines use a safe virus to insert pathogen genes in the body to produce specific antigens, such as surface proteins, to stimulate an immune response.",Jenner's vaccine survived only 12 days in vitro,0.04486203193664551,2.97118878364563,3.0160508155822754,1.0,0.9197207891481877,0.2222222222222222,0.03125,0.0547945205479452,0.0547945205479452,0.0,"[{'title': 'Vaccine', 'url': 'https://en.wikipedia.org/wiki/Vaccine', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': '1990 Manjil–Rudbar earthquake', 'url': 'https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Vaccine', 'url': 'https://en.wikipedia.org/wiki/Vaccine', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
31,How does Medicine compare to Meditation?,comparative,"The concept of hospital as institution to offer medical care and possibility of a cure for the patients due to the ideals of Christian charity, rather than just merely a place to die, appeared in the . Meanwhile, Cun 存 (lit. 'exist; be present; survive') has a sense of ""to cause to exist; to make present"" in the meditation techniques popularized by the Taoist Shangqing and Lingbao Schools. A meditator visualiz.",[4].,0.06097984313964844,1.6927111148834229,1.7536909580230713,1.0,0.9197207891481877,0.0,0.0,0.0,0.0,0.0,"[{'title': 'Meditation', 'url': 'https://en.wikipedia.org/wiki/Meditation', 'rrf_score': 0.01639344262295082, 'dense_rank': 1, 'sparse_rank': None}, {'title': 'Milky Way', 'url': 'https://en.wikipedia.org/wiki/Milky_Way', 'rrf_score': 0.01639344262295082, 'dense_rank': None, 'sparse_rank': 1}, {'title': 'Meditation', 'url': 'https://en.wikipedia.org/wiki/Meditation', 'rrf_score': 0.016129032258064516, 'dense_rank': 2, 'sparse_rank': None}]"
